FECHA,PRECIPITACION,EMBALSE_NOMBRE
16-06-2015,0,Aldeadávila
17-06-2015,0,Aldeadávila
18-06-2015,0,Aldeadávila
19-06-2015,0,Aldeadávila
20-06-2015,0,Aldeadávila
21-06-2015,0,Aldeadávila
22-06-2015,0,Aldeadávila
23-06-2015,0.2,Aldeadávila
24-06-2015,0.2,Aldeadávila
25-06-2015,0,Aldeadávila
26-06-2015,0,Aldeadávila
27-06-2015,0,Aldeadávila
28-06-2015,0,Aldeadávila
29-06-2015,0,Aldeadávila
30-06-2015,0,Aldeadávila
01-07-2015,0,Aldeadávila
02-07-2015,0,Aldeadávila
03-07-2015,0,Aldeadávila
04-07-2015,0,Aldeadávila
05-07-2015,0,Aldeadávila
06-07-2015,0,Aldeadávila
07-07-2015,0,Aldeadávila
08-07-2015,0,Aldeadávila
